model,bench,variant,k,sample_method,tp,tag,step,finished_s,output_tokens
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,1,61.86283373599872,77039
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,1,60.19199452199973,80092
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,2,146.44231276703067,209431
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,2,83.16634499101201,106410
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,3,113.63273703795858,160393
Qwen3-235B-A22B,math500,baseline,0,-,4,qwen3_235b_math500_rollout_baseline_20260712,3,126.62923585897079,151352
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,0,107.07264205399952,59951
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,0,246.21088965299987,220310
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,1,102.89744246800001,70444
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,1,103.4369675429989,80597
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,2,385.7021103650004,226789
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,2,246.35838683399925,102371
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,3,196.03331206599978,148330
Qwen3-235B-A22B,math500,dynamic,5,greedy,4,qwen3_235b_math500_rollout_dynamic_20260712,3,190.7651884120005,140652
Qwen3-235B-A22B,math500,fixed_k3,3,greedy,4,qwen3_235b_math500_rollout_fixed_k3_20260712,0,110.16758923698217,59257
Qwen3-235B-A22B,math500,fixed_k3,3,greedy,4,qwen3_235b_math500_rollout_fixed_k3_20260712,0,304.9911968559027,221022
